route_id,sample_count,mean_speed_mps,median_speed_mps,max_speed_mps,mean_speed_kmh,median_speed_kmh,max_speed_kmh
6618,1493,0.0,0.0,0.0,0.0,0.0,0.0
6619,1898,0.0,0.0,0.0,0.0,0.0,0.0
6620,1414,0.0,0.0,0.0,0.0,0.0,0.0
6621,675,0.0,0.0,0.0,0.0,0.0,0.0
6622,2264,0.0,0.0,0.0,0.0,0.0,0.0
6623,1241,0.0,0.0,0.0,0.0,0.0,0.0
6624,3218,0.0,0.0,0.0,0.0,0.0,0.0
6625,1757,0.0,0.0,0.0,0.0,0.0,0.0
6626,1367,0.0,0.0,0.0,0.0,0.0,0.0
6627,1598,0.0,0.0,0.0,0.0,0.0,0.0
6628,421,0.0,0.0,0.0,0.0,0.0,0.0
6629,304,0.0,0.0,0.0,0.0,0.0,0.0
6630,806,0.0,0.0,0.0,0.0,0.0,0.0
6631,157,0.0,0.0,0.0,0.0,0.0,0.0
6633,1101,0.0,0.0,0.0,0.0,0.0,0.0
6636,1734,0.0,0.0,0.0,0.0,0.0,0.0
6637,763,0.0,0.0,0.0,0.0,0.0,0.0
6638,282,0.0,0.0,0.0,0.0,0.0,0.0
6641,1995,0.0,0.0,0.0,0.0,0.0,0.0
6642,1026,0.0,0.0,0.0,0.0,0.0,0.0
6643,483,0.0,0.0,0.0,0.0,0.0,0.0
6644,326,0.0,0.0,0.0,0.0,0.0,0.0
6645,833,0.0,0.0,0.0,0.0,0.0,0.0
6646,642,0.0,0.0,0.0,0.0,0.0,0.0
6647,479,0.0,0.0,0.0,0.0,0.0,0.0
6648,427,0.0,0.0,0.0,0.0,0.0,0.0
6649,980,0.0,0.0,0.0,0.0,0.0,0.0
6650,520,0.0,0.0,0.0,0.0,0.0,0.0
6651,931,0.0,0.0,0.0,0.0,0.0,0.0
6652,450,0.0,0.0,0.0,0.0,0.0,0.0
6654,516,0.0,0.0,0.0,0.0,0.0,0.0
6657,892,0.0,0.0,0.0,0.0,0.0,0.0
6658,582,0.0,0.0,0.0,0.0,0.0,0.0
6659,470,0.0,0.0,0.0,0.0,0.0,0.0
6660,427,0.0,0.0,0.0,0.0,0.0,0.0
6661,342,0.0,0.0,0.0,0.0,0.0,0.0
6662,375,0.0,0.0,0.0,0.0,0.0,0.0
6663,441,0.0,0.0,0.0,0.0,0.0,0.0
6664,490,0.0,0.0,0.0,0.0,0.0,0.0
6665,504,0.0,0.0,0.0,0.0,0.0,0.0
6666,632,0.0,0.0,0.0,0.0,0.0,0.0
6667,1517,0.0,0.0,0.0,0.0,0.0,0.0
6668,462,0.0,0.0,0.0,0.0,0.0,0.0
6672,394,0.0,0.0,0.0,0.0,0.0,0.0
6673,568,0.0,0.0,0.0,0.0,0.0,0.0
6674,272,0.0,0.0,0.0,0.0,0.0,0.0
6675,155,0.0,0.0,0.0,0.0,0.0,0.0
6676,480,0.0,0.0,0.0,0.0,0.0,0.0
6677,518,0.0,0.0,0.0,0.0,0.0,0.0
6678,316,0.0,0.0,0.0,0.0,0.0,0.0
6679,386,0.0,0.0,0.0,0.0,0.0,0.0
6680,537,0.0,0.0,0.0,0.0,0.0,0.0
6682,876,0.0,0.0,0.0,0.0,0.0,0.0
6685,395,0.0,0.0,0.0,0.0,0.0,0.0
6687,1724,0.0,0.0,0.0,0.0,0.0,0.0
6688,200,0.0,0.0,0.0,0.0,0.0,0.0
6689,169,0.0,0.0,0.0,0.0,0.0,0.0
6690,113,0.0,0.0,0.0,0.0,0.0,0.0
6691,129,0.0,0.0,0.0,0.0,0.0,0.0
6692,821,0.0,0.0,0.0,0.0,0.0,0.0
6693,985,0.0,0.0,0.0,0.0,0.0,0.0
6698,478,0.0,0.0,0.0,0.0,0.0,0.0
6700,417,0.0,0.0,0.0,0.0,0.0,0.0
6701,180,0.0,0.0,0.0,0.0,0.0,0.0
6702,374,0.0,0.0,0.0,0.0,0.0,0.0
6703,1436,0.0,0.0,0.0,0.0,0.0,0.0
6704,1121,0.0,0.0,0.0,0.0,0.0,0.0
6705,2073,0.0,0.0,0.0,0.0,0.0,0.0
6706,1512,0.0,0.0,0.0,0.0,0.0,0.0
6707,625,0.0,0.0,0.0,0.0,0.0,0.0
