route_id,stop_id
6636,2021
6636,8642
6636,1641
6636,9085
6636,1642
6636,9989
6636,12186
6636,2028
6636,2029
6636,11610
6636,2032
6636,2033
6636,2034
6636,2035
6636,2036
6636,2037
6636,2038
6636,2039
6636,2040
6636,2041
6636,2042
6636,2044
6636,2045
6636,2046
6636,2047
6636,13140
6636,13088
6636,13141
6636,2052
6636,2053
6636,2054
6636,2055
6636,2056
6636,2057
6636,2059
6636,2060
6636,2061
6636,2062
6636,12744
6636,2064
6636,2065
6636,2067
6636,2068
6636,2070
6636,2071
6636,12626
6636,1908
6636,1909
6636,1911
6636,1912
6636,1895
6636,11760
6636,10755
6636,1613
6636,1614
6636,12600
6672,4030
6672,4032
6672,4033
6672,4034
6672,4035
6672,4036
6672,4037
6672,4038
6672,4039
6672,4040
6672,4042
6672,4043
6672,10879
6672,4045
6672,4046
6672,4047
6672,4048
6672,4049
6672,4050
6672,4052
6672,1771
6672,1772
6672,1773
6672,12951
6672,453
6672,497
6672,512
6672,518
6672,10976
6672,696
6672,91
6672,93
6672,11638
6672,95
6672,96
6672,11553
6672,409
30040,3885
30040,3886
30040,3887
30040,9396
30040,3889
30040,3890
30040,3891
30040,9395
30040,9394
30040,3905
30040,3840
30040,3841
30040,3842
30040,3861
30040,3862
30040,3863
30040,3864
30040,3865
30040,12724
30040,3867
30040,3868
30040,3869
30040,3056
30040,3057
30040,3058
30040,3059
30040,3816
30040,3061
30040,3479
30040,3062
30040,12830
30040,12059
30040,3483
30040,12021
30040,3395
30040,3068
30040,3069
30040,3904
30055,1
30055,12767
30055,12769
30055,12770
30055,12771
30055,13154
30055,12804
30055,10694
30055,10468
30055,12330
30055,12331
30055,10589
30055,9063
30055,21
30055,524
30055,232
6624,10895
6624,177
6624,178
6624,179
6624,181
6624,182
6624,184
6624,696
6624,91
6624,93
6624,11638
6624,95
6624,13126
6624,9307
6624,1484
6624,11643
6624,8643
6624,1487
6624,9105
6624,10944
6612,13039
6612,8535
6612,45
6612,46
6612,47
6612,98
6612,12494
6612,101
6612,103
6612,104
6612,105
6612,106
6612,107
6612,1379
6612,109
6612,110
6612,111
6612,112
6612,12958
6612,113
6612,119
6612,121
6612,122
6612,124
6612,126
6612,128
6612,130
6612,296
6612,12671
6612,13135
6612,300
6612,646
6665,12210
6665,3092
6665,3244
6665,12311
6665,12245
6665,12246
6665,3582
6665,10665
6665,3584
6665,3585
6665,3586
6665,3587
6665,12345
6665,3373
6665,3407
6665,3408
6665,3409
6665,3518
6665,3646
6665,3647
6665,9423
6665,3649
6665,9420
6665,3651
6665,3423
6665,10068
6665,11552
6665,3426
6665,11551
6665,8434
6665,8691
6649,12963
6649,1401
6649,1402
6649,11193
6649,1404
6649,1405
6649,1406
6649,1407
6649,1408
6649,1409
6649,1410
6649,1411
6649,1412
6649,1413
6649,1414
6649,1415
6649,1416
6649,1418
6649,1419
6649,1420
6649,1421
6649,1422
6649,1423
6649,1424
6649,1425
6649,1426
6649,1427
6649,1428
6649,1429
6649,1430
6649,1431
6649,1432
6649,1433
6649,1434
6649,1435
6649,11765
6618,9103
6618,827
6618,828
6618,11521
6618,12843
6618,831
6618,832
6618,834
6618,835
6618,836
6618,837
6618,12891
6618,839
6618,840
6618,841
6618,842
6618,844
6618,845
6618,847
6618,848
6618,12487
6618,850
6618,851
6618,852
6618,853
6618,10619
6618,855
6618,856
6618,8622
6618,177
6618,178
6618,179
6618,181
6618,182
6618,184
6618,3428
6618,186
6618,3429
6618,188
6618,859
6618,35
6618,10439
6618,12668
37808,5464
37808,5467
37808,5469
37808,5474
37808,5040
37808,12155
37808,10881
37808,5266
37808,5268
37808,5270
37808,5272
37808,10916
6706,5667
6706,5668
6706,5669
6706,5670
6706,5671
6706,5672
6706,5673
6706,8558
6706,5674
6706,5675
6706,5676
6706,5677
6706,5678
6706,5679
6706,5680
6706,5681
6706,5682
6706,5683
6706,11865
6706,5686
6706,5687
6706,9781
6706,5688
6706,5689
6706,5690
6706,5691
6706,5692
6706,5693
6706,5694
6706,5696
6706,5697
6706,5698
6706,5699
6706,5463
6706,5593
6706,13119
6822,12786
6822,7464
6822,7465
6822,7466
