route_id,route_short_name,route_long_name,mode,bus_subtype,days_active,mean_daily_records,cv_daily_records,is_persistent,stability_score
6683,241,Upper Lonsdale/Downtown,Bus,Regular Bus,5,2380.0,0.3848,True,43.19
6716,352,White Rock Centre/Bridgeport Station,Bus,Regular Bus,5,2455.0,0.395,True,41.69
6829,416,East Cambie/Brighouse Station,Bus,Regular Bus,5,1618.2,0.3956,True,41.6
6718,391,116 Street,Bus,Regular Bus,5,705.8,0.3959,True,41.56
6739,509,Walnut Grove/Surrey Central Station,Bus,Regular Bus,5,2249.6,0.3997,True,40.99
11693,388,88 Avenue,Bus,Regular Bus,5,8482.8,0.4013,True,40.76
6714,345,152 Street,Bus,Regular Bus,5,10888.6,0.4058,True,40.09
6635,044,UBC Exchange/Downtown Express,Bus,Express,5,6944.2,0.4365,True,40.0
39305,222,Willingdon Express,Bus,Express,5,7129.2,0.4456,True,40.0
7224,791,Haney Place/Braid Station,Bus,Regular Bus,5,8538.0,0.4296,True,40.0
9745,418,Kingswood/22nd St Station,Bus,Regular Bus,5,2965.4,0.4066,True,40.0
30041,175,Coquitlam Central Station/Meridian,Bus,Regular Bus,5,2123.4,0.4495,True,40.0
45596,080,Marine Dr Express,Bus,Express,5,2246.0,0.4769,True,40.0
6656,143,SFU Exchange/Burquitlam Station,Bus,Regular Bus,5,2366.8,0.4514,True,40.0
6742,602,Bridgeport Station/Tsawwassen Heights,Bus,Regular Bus,5,1462.2,0.4706,True,40.0
18213,231,Harbourside/Lonsdale Quay,Bus,Regular Bus,5,368.0,0.4258,True,40.0
30042,179,Coquitlam Central Station/Buntzen Lake,Bus,Regular Bus,2,1281.0,0.8335,False,16.0
7509,150,Coquitlam Central Station/White Pine Beach,Bus,Regular Bus,2,1195.5,0.5258,False,16.0
11202,042,Alma/Spanish Banks,Bus,Regular Bus,2,883.0,0.4645,False,16.0
