route_rank,route_rank_pct,route_id,route_short_name,route_long_name,mode,bus_subtype,total_records,cumulative_records,cumulative_pct
149,66.22222222222223,22639,227,Lynn Valley/Phibbs Exchange,Bus,Regular Bus,17399,8670827,93.15941009394987
150,66.66666666666666,6841,N9,Broadway-Lougheed,Bus,NightBus,16314,8687141,93.33468779425144
151,67.11111111111111,6690,253,Caulfeild/Vancouver/Park Royal,Bus,Regular Bus,16003,8703144,93.50662410894593
152,67.55555555555556,30036,170,Port Coquitlam Station/Port Coquitlam South,Bus,Regular Bus,14956,8718100,93.66731145023012
153,68.0,6675,214,Blueridge/Phibbs Exchange/Burrard Station,Bus,Regular Bus,14927,8733027,93.82768721536443
154,68.44444444444444,9745,418,Kingswood/22nd St Station,Bus,Regular Bus,14827,8747854,93.98698857998203
155,68.88888888888889,34043,746,Haney Place/Albion,Bus,Regular Bus,14582,8762436,94.14365766333358
156,69.33333333333334,6828,413,Riverport/Steveston,Bus,Regular Bus,14562,8776998,94.3001118665818
157,69.77777777777779,30048,185,Coquitlam Central Station/Lansdowne,Bus,Regular Bus,14282,8791280,94.45355774838313
158,70.22222222222221,48855,338,East Fraser Heights/Guildford,Bus,Regular Bus,14178,8805458,94.60588625364706
159,70.66666666666667,6720,394,White Rock Centre/King George Station,Bus,Regular Bus,13980,8819438,94.75608744588781
160,71.11111111111111,31817,361,Ocean Park/White Rock Centre,Bus,Regular Bus,13951,8833389,94.90597706197873
161,71.55555555555554,31816,360,Ocean Park/Peace Arch Hospital,Bus,Regular Bus,13800,8847189,95.05424433328935
162,72.0,6688,251,Queens/Park Royal,Bus,Regular Bus,13693,8860882,95.20136199604707
163,72.44444444444444,6691,254,British Properties/Park Royal/Van,Bus,Regular Bus,13342,8874224,95.344708512991
164,72.88888888888889,34042,745,Haney Place/Cottonwood,Bus,Regular Bus,12993,8887217,95.48430537213152
165,73.33333333333333,6790,103,New West Station/Quayside,Bus,Regular Bus,12980,8900197,95.62376255920483
166,73.77777777777777,6827,412,Bridgeport Station/Sea Island South,Bus,Regular Bus,12908,8913105,95.76244617790611
167,74.22222222222223,16717,209,Mountain Hwy,Bus,Regular Bus,12591,8925696,95.89772394696931
168,74.66666666666667,31822,741,Rock Ridge/Haney Place,Bus,Regular Bus,12446,8938142,96.03144383528323
169,75.1111111111111,6716,352,White Rock Centre/Bridgeport Station,Bus,Regular Bus,12275,8950417,96.1633264987135
170,75.55555555555556,34541,722,Meadowtown/Bonson,Bus,Regular Bus,12005,8962422,96.2923082807486
171,76.0,6683,241,Upper Lonsdale/Downtown,Bus,Regular Bus,11900,8974322,96.4201619422411
172,76.44444444444444,6656,143,SFU Exchange/Burquitlam Station,Bus,Regular Bus,11834,8986156,96.54730649939253
173,76.88888888888889,31821,733,Rock Ridge/Haney Place,Bus,Regular Bus,11537,8997693,96.67126008700924
174,77.33333333333333,30044,181,Moody Centre Station/Ioco,Bus,Regular Bus,11492,9009185,96.79473019439342
175,77.77777777777779,6834,N19,Kingsway,Bus,NightBus,11461,9020646,96.91786723761743
176,78.22222222222223,6689,252,Inglewood/Park Royal,Bus,Regular Bus,11404,9032050,97.04039187254688
