route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,route_segment_km,segment_start_km,segment_end_km,stop_before_id,stop_before_name,stop_before_dist_km,stop_after_id,stop_after_name,stop_after_dist_km,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km,closest_gap_km,vehicles_involved,active_timestamps
37810,R4,41st Avenue,RapidBus,0,313452,12.0,12.0,12.5,811,Eastbound W 41 Ave @ Oak St,11.86,12586,Oakridge-41st Ave Station @ Bay 3,12.76,31,2,7,22,0.339,0.431,0.029,11,31
6624,019,Kingsway,Regular Bus,1,312414,4.5,4.5,5.0,1484,Westbound W Pender St @ Bute St,4.19,1487,Westbound W Georgia St @ Denman St,5.11,30,0,9,21,0.274,0.255,0.126,3,30
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,13.0,13.0,13.5,9136,Southbound Granville St @ W Broadway,12.82,12705,Westbound W 12th Ave @ Cypress St,13.83,30,2,10,18,0.278,0.348,0.052,4,30
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,7.0,7.0,7.5,398,Eastbound W 4th Ave @ Trafalgar St,6.91,12813,Eastbound W 4th Ave @ Yew St,7.61,29,0,13,16,0.266,0.343,0.171,6,24
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,6.5,6.5,7.0,11526,Southbound Granville St @ W Pender St,6.31,11474,Southbound Granville St @ Nelson St,7.12,29,0,18,11,0.26,0.174,0.163,4,22
37810,R4,41st Avenue,RapidBus,0,313452,8.0,8.0,8.5,12625,Dunbar Loop @ Bay 7,7.62,13151,Eastbound W 41 Ave @ Maple St,9.97,29,4,13,12,0.257,0.205,0.071,11,27
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,9.5,9.5,10.0,11429,Northbound Granville St @ Davie St,9.43,11523,Northbound Granville St @ W Georgia St,10.16,29,0,6,23,0.343,0.332,0.163,5,28
6624,019,Kingsway,Regular Bus,1,312413,10.5,10.5,11.0,182,Northbound Main St @ National Ave,10.45,11529,Westbound E Pender St @ Main St,11.05,28,4,18,6,0.188,0.197,0.003,7,28
6641,099,Broadway B-Line,B-Line,1,312530,3.0,3.0,3.5,12822,Westbound E Broadway @ Ontario St,2.95,11088,Broadway-City Hall Station @ Bay 4,3.77,28,1,2,25,0.412,0.478,0.0,12,28
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,15.0,15.0,15.5,11046,Westbound W 4th Ave @ Collingwood St,14.84,12816,Southbound Alma St @ W 10 Ave,15.7,28,16,4,8,0.193,0.095,0.047,4,28
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,11.5,11.5,12.0,11523,Northbound Granville St @ W Georgia St,11.48,35,Waterfront Station @ Bay 3,12.23,28,7,9,12,0.192,0.16,0.05,3,26
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,4.0,4.0,4.5,1099,Northbound Renfrew St @ Venables St,3.79,969,Westbound E Hastings St @ Kaslo St,4.58,28,3,5,20,0.313,0.297,0.0,7,26
6705,321,King George Blvd,Regular Bus,1,312952,7.0,7.0,7.5,5507,Eastbound 72 Ave @ King George Blvd,6.88,5511,Southbound 138 St @ 7100 Block,7.53,28,3,16,9,0.255,0.233,0.032,7,28
37810,R4,41st Avenue,RapidBus,0,313452,7.0,7.0,7.5,1896,Westbound W 16 Ave @ Wesbrook Mall,1.76,12625,Dunbar Loop @ Bay 7,7.62,28,10,5,13,0.225,0.219,0.014,12,28
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,12.0,12.0,12.5,942,Eastbound E Hastings St @ Main St,11.86,946,Eastbound E Hastings St @ Hawks Ave,12.78,27,0,8,19,0.305,0.287,0.127,6,27
37810,R4,41st Avenue,RapidBus,0,313452,10.5,10.5,11.0,13151,Eastbound W 41 Ave @ Maple St,9.97,811,Eastbound W 41 Ave @ Oak St,11.86,27,5,8,14,0.24,0.25,0.058,10,27
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,9.5,9.5,10.0,859,Westbound W Hastings St @ Richards St,9.48,11524,Southbound Granville St @ W Georgia St,10.05,27,2,18,7,0.186,0.181,0.046,5,26
