route_id,direction_id,shape_id,trip_count
37808,1,318456,282
37808,1,318457,7
37808,1,313444,7
37809,0,318462,245
37809,0,313450,245
37809,1,318463,246
37809,1,313451,245
37810,0,318464,409
37810,0,313452,409
37810,1,313453,412
37810,1,318465,412
38311,0,318458,172
38311,0,313447,172
38311,0,318459,107
38311,0,313446,107
38311,1,313449,167
38311,1,318460,167
38311,1,318461,111
38311,1,313448,111
39304,0,312476,120
39304,0,317482,120
39304,1,317483,120
39304,1,312477,120
39305,0,318493,55
39305,0,312768,55
39305,1,318494,53
39305,1,312769,51
39307,0,317818,177
39307,0,312818,177
39307,1,312819,177
39307,1,317819,177
40855,0,318026,132
40855,0,313015,132
40855,0,318025,4
40855,0,313016,4
40855,1,313017,137
40855,1,318027,137
44845,0,318359,51
44845,1,318360,51
45596,0,317517,26
45596,0,312519,26
45596,1,312520,26
45596,1,317518,26
46099,0,312543,204
46099,0,317543,204
46099,1,317544,204
46099,1,312544,204
46604,0,313465,334
46604,0,318477,334
46604,1,318478,328
46604,1,313466,328
48855,0,318005,77
48855,0,312998,77
48855,1,318006,77
48855,1,312999,77
53124,0,318504,163
53124,0,318549,6
53124,1,318505,169
53125,0,318490,2562
53125,1,318489,2562
53126,0,318507,54
53126,1,318508,58
53127,0,318535,26
53127,1,318536,26
6612,0,317230,217
6612,0,312225,209
6612,0,317231,83
6612,0,312224,80
6612,1,317232,217
6612,1,312227,209
6612,1,317233,83
6612,1,312226,80
6613,0,317234,238
6613,0,312228,238
6613,1,312229,238
6613,1,317235,238
6614,0,318518,151
6614,0,312231,150
6614,0,318522,24
6614,0,312234,24
6614,0,312230,21
6614,0,317241,21
6614,0,317239,18
6614,0,312233,18
6614,0,318534,10
6614,0,317238,10
6614,0,312235,10
6614,0,312232,10
6614,1,318524,152
6614,1,312245,151
6614,1,317249,17
6614,1,312238,17
6614,1,317246,12
6614,1,318525,11
6614,1,312242,11
6614,1,312244,11
6614,1,312241,10
6614,1,317245,9
6614,1,312236,7
6614,1,318527,7
6614,1,312237,2
6614,1,317250,2
6614,1,312239,1
6614,1,317248,1
6614,1,317247,1
6614,1,312240,1
6614,1,312243,1
6614,1,318526,1
6615,0,317252,314
6615,0,312248,304
6615,0,312247,18
6615,0,317253,18
6615,0,317254,6
6615,0,312246,6
6615,1,312251,319
6615,1,317256,305
6615,1,317255,23
6615,1,312249,5
6615,1,317258,5
6615,1,312250,1
6615,1,317257,1
6616,0,317259,334
6616,0,312253,325
6616,1,317260,331
6616,1,312255,321
6616,1,312254,7
6616,1,317261,7
6617,0,317263,196
6617,0,312261,178
6617,0,312260,27
6617,0,317266,9
6617,0,317262,9
6617,0,312257,9
6617,0,317264,3
6617,0,312259,3
6617,0,312256,1
6617,0,318548,1
6617,0,312258,1
6617,0,317265,1
6617,1,317269,148
6617,1,312273,148
6617,1,317270,24
6617,1,312271,19
6617,1,318514,12
6617,1,318547,12
6617,1,312270,11
6617,1,317271,6
6617,1,318519,6
6617,1,317278,6
6617,1,318520,6
6617,1,318532,6
6617,1,312263,6
6617,1,318531,6
6617,1,312264,3
6617,1,317277,3
6617,1,318517,3
6617,1,318521,2
6617,1,317279,2
6617,1,312262,2
6617,1,318529,2
6617,1,318533,2
6617,1,318528,2
6617,1,318523,2
6617,1,318530,2
6617,1,312269,2
6617,1,317272,2
6617,1,312266,1
6617,1,318546,1
6617,1,318545,1
6617,1,318516,1
6617,1,312265,1
6618,0,312278,199
6618,0,317280,199
6618,0,317282,31
6618,0,312276,31
6618,0,312275,17
6618,0,317283,17
6618,0,312277,12
6618,0,317281,12
6618,0,312274,7
6618,0,317284,7
6618,1,312280,220
6618,1,317287,220
6618,1,317286,28
6618,1,312281,28
6618,1,317288,18
6618,1,312279,18
6618,1,317285,1
6618,1,312282,1
6619,0,317297,232
6619,0,312285,231
6619,0,317290,61
6619,0,312292,60
6619,0,312289,25
6619,0,317293,25
6619,0,312293,2
6619,0,317289,2
6619,1,317304,251
6619,1,312305,251
6619,1,317306,40
6619,1,312303,40
6619,1,317313,17
6619,1,312296,17
6619,1,317302,5
6619,1,312307,4
6619,1,312297,4
6619,1,317312,4
6619,1,317300,2
6619,1,312309,2
6619,1,317309,1
6619,1,312300,1
6620,0,317321,218
6620,0,312313,192
6620,0,312312,39
6620,0,318510,14
6620,0,312317,14
6620,0,317320,13
6620,0,312315,5
6620,0,317318,5
6620,0,318511,3
6620,0,312311,3
6620,0,312310,2
6620,0,318512,2
6620,1,317325,220
6620,1,312323,202
6620,1,312322,28
6620,1,317324,10
6620,1,312320,6
6620,1,317329,6
6620,1,312318,6
6620,1,317327,6
6620,1,317328,2
6620,1,312319,2
6620,1,312321,2
6620,1,317326,2
6621,0,317356,228
6621,0,312350,209
6621,1,317357,230
6621,1,312351,211
6622,0,317366,246
6622,0,312365,227
6622,0,317380,170
6622,0,312366,28
6622,0,317367,9
6622,0,317358,6
6622,0,312374,6
6622,0,312371,3
6622,0,317379,3
6622,0,318542,3
6622,0,312353,3
6622,0,318541,2
6622,0,312369,2
6622,0,312373,2
6622,0,317359,2
6622,0,317364,2
6622,0,312368,2
6622,0,318543,1
6622,0,317365,1
6622,0,312367,1
6622,0,312370,1
6622,0,317362,1
6622,0,312372,1
6622,1,317386,227
6622,1,312384,208
