route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km
30053,,Expo Line,0,318391,638,757,28.37
30053,,Expo Line,0,313374,630,757,28.37
30053,,Expo Line,0,318390,285,695,29.13
30053,,Expo Line,0,313375,285,695,29.13
30053,,Expo Line,0,318383,200,591,25.34
30053,,Expo Line,0,313382,200,591,25.34
30053,,Expo Line,0,313373,24,414,12.35
30053,,Expo Line,0,318392,24,414,12.35
30053,,Expo Line,0,318394,20,350,10.31
30053,,Expo Line,0,313371,20,350,10.31
30053,,Expo Line,0,318396,18,625,27.51
30053,,Expo Line,0,313372,11,352,13.11
30053,,Expo Line,0,318393,11,352,13.11
30053,,Expo Line,0,313369,10,625,27.51
30053,,Expo Line,0,313384,6,184,7.28
30053,,Expo Line,0,318381,6,184,7.28
30053,,Expo Line,0,318382,5,345,16.09
30053,,Expo Line,0,313383,5,345,16.09
30053,,Expo Line,0,318385,4,248,9.32
30053,,Expo Line,0,313380,4,248,9.32
30053,,Expo Line,0,313379,1,150,4.43
30053,,Expo Line,0,318386,1,150,4.43
30053,,Expo Line,1,318409,625,757,28.37
30053,,Expo Line,1,313392,625,757,28.37
30053,,Expo Line,1,313393,294,695,29.13
30053,,Expo Line,1,318408,294,695,29.13
30053,,Expo Line,1,313402,198,591,25.34
30053,,Expo Line,1,318399,198,591,25.34
30053,,Expo Line,1,318413,32,222,7.46
30053,,Expo Line,1,313388,23,222,7.46
30053,,Expo Line,1,318400,22,160,8.22
30053,,Expo Line,1,313401,17,160,8.22
30053,,Expo Line,1,318410,16,345,16.09
30053,,Expo Line,1,313391,16,345,16.09
30053,,Expo Line,1,318411,2,609,24.05
30053,,Expo Line,1,313390,2,609,24.05
30053,,Expo Line,1,318414,1,121,5.85
30053,,Expo Line,1,313387,1,121,5.85
30053,,Expo Line,1,318402,1,723,27.48
30053,,Expo Line,1,318415,1,24,0.97
30053,,Expo Line,1,313400,1,66,3.07
30053,,Expo Line,1,318401,1,66,3.07
30053,,Expo Line,1,313398,1,29,1.52
30053,,Expo Line,1,313399,1,723,27.48
30053,,Expo Line,1,313386,1,24,0.97
30053,,Expo Line,1,318403,1,29,1.52
30055,023,Pacific,0,318495,288,126,5.57
30055,023,Pacific,0,312444,259,125,5.56
30055,023,Pacific,0,318496,247,64,2.94
30055,023,Pacific,1,318497,288,125,5.9
30055,023,Pacific,1,312445,259,123,5.85
30055,023,Pacific,1,318498,247,66,3.35
30584,191,Coquitlam Central Station/Princeton,0,317723,101,118,7.17
30584,191,Coquitlam Central Station/Princeton,0,312723,101,118,7.17
30584,191,Coquitlam Central Station/Princeton,1,317724,101,132,7.39
30584,191,Coquitlam Central Station/Princeton,1,312724,101,132,7.39
31816,360,Ocean Park/Peace Arch Hospital,0,318037,53,150,12.82
31816,360,Ocean Park/Peace Arch Hospital,0,313028,53,150,12.82
31816,360,Ocean Park/Peace Arch Hospital,0,318038,1,21,1.52
31816,360,Ocean Park/Peace Arch Hospital,0,313027,1,21,1.52
31816,360,Ocean Park/Peace Arch Hospital,1,313029,52,131,11.6
31816,360,Ocean Park/Peace Arch Hospital,1,318039,52,131,11.6
31817,361,Ocean Park/White Rock Centre,0,313030,54,129,10.68
31817,361,Ocean Park/White Rock Centre,0,318040,54,129,10.68
31817,361,Ocean Park/White Rock Centre,1,313031,53,180,12.16
31817,361,Ocean Park/White Rock Centre,1,318041,53,180,12.16
31818,362,Seaside/White Rock Centre,0,318042,124,50,4.18
31818,362,Seaside/White Rock Centre,0,313032,92,50,4.18
31818,362,Seaside/White Rock Centre,1,318043,123,76,3.54
31818,362,Seaside/White Rock Centre,1,313033,91,76,3.54
31819,363,Southpoint/Peace Arch Hospital,0,313034,101,184,11.31
31819,363,Southpoint/Peace Arch Hospital,0,318044,101,184,11.31
31819,363,Southpoint/Peace Arch Hospital,1,313035,101,189,12.88
31819,363,Southpoint/Peace Arch Hospital,1,318045,101,189,12.88
31820,372,Clayton Heights/Langley Centre,0,318054,90,159,11.19
31820,372,Clayton Heights/Langley Centre,0,313044,90,159,11.19
31820,372,Clayton Heights/Langley Centre,1,313045,86,162,11.03
31820,372,Clayton Heights/Langley Centre,1,318055,86,162,11.03
31821,733,Rock Ridge/Haney Place,0,313287,62,86,6.05
31821,733,Rock Ridge/Haney Place,0,318297,62,86,6.05
31821,733,Rock Ridge/Haney Place,0,318298,6,119,7.8
31821,733,Rock Ridge/Haney Place,0,313286,5,119,7.8
31821,733,Rock Ridge/Haney Place,0,318296,1,39,2.14
31821,733,Rock Ridge/Haney Place,0,313288,1,39,2.14
31821,733,Rock Ridge/Haney Place,1,318300,61,127,7.62
31821,733,Rock Ridge/Haney Place,1,313290,61,127,7.62
31821,733,Rock Ridge/Haney Place,1,313289,5,191,9.84
31821,733,Rock Ridge/Haney Place,1,318301,5,191,9.84
31821,733,Rock Ridge/Haney Place,1,318299,2,126,7.54
31821,733,Rock Ridge/Haney Place,1,313291,2,126,7.54
31822,741,Anderson Creek/Haney Place,0,318303,67,147,6.94
31822,741,Anderson Creek/Haney Place,0,313293,65,147,6.94
31822,741,Anderson Creek/Haney Place,0,313294,5,180,8.69
31822,741,Anderson Creek/Haney Place,0,318302,5,180,8.69
31822,741,Anderson Creek/Haney Place,0,313292,1,101,3.76
31822,741,Anderson Creek/Haney Place,0,318304,1,101,3.76
31822,741,Anderson Creek/Haney Place,1,313296,62,135,6.72
31822,741,Anderson Creek/Haney Place,1,318306,62,135,6.72
31822,741,Anderson Creek/Haney Place,1,313295,5,199,9.07
31822,741,Anderson Creek/Haney Place,1,318307,5,199,9.07
31822,741,Anderson Creek/Haney Place,1,318305,4,134,6.72
31822,741,Anderson Creek/Haney Place,1,313297,4,134,6.72
32799,119,Kingsway,0,317575,247,84,5.63
32799,119,Kingsway,0,312575,247,84,5.63
32799,119,Kingsway,1,312576,243,94,5.7
32799,119,Kingsway,1,317576,243,94,5.7
33292,133,Holdom Station/Edmonds Station,0,312609,86,144,8.76
33292,133,Holdom Station/Edmonds Station,0,317607,86,144,8.76
33292,133,Holdom Station/Edmonds Station,0,312608,33,168,9.18
33292,133,Holdom Station/Edmonds Station,0,317608,33,168,9.18
33292,133,Holdom Station/Edmonds Station,0,312607,1,107,6.06
33292,133,Holdom Station/Edmonds Station,0,317609,1,107,6.06
33292,133,Holdom Station/Edmonds Station,1,317610,90,153,8.94
