service_date,collection_timestamp,route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,vehicle_id,next_vehicle_id,approx_shape_dist_traveled,next_shape_dist,distance_to_next_bus_km,bunching_severity,peak_period,route_segment_km
2026-05-23 00:00:00,2026-05-23 09:08:27.12683-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,2184,2115,5.3708,5.8441,0.4733,Moderate,AM Peak,5.0
2026-05-23 00:00:00,2026-05-23 09:08:57.751438-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,2184,2115,5.5024,5.8441,0.3417,Moderate,AM Peak,5.5
2026-05-23 00:00:00,2026-05-23 09:09:28.366076-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,2184,2115,5.5024,5.8441,0.3417,Moderate,AM Peak,5.5
2026-05-23 00:00:00,2026-05-23 09:09:58.940759-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,2184,2115,5.5024,5.8441,0.3417,Moderate,AM Peak,5.5
2026-05-23 00:00:00,2026-05-23 09:11:30.818631-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,2115,2184,5.8441,6.0148,0.1707,High,AM Peak,5.5
2026-05-23 00:00:00,2026-05-23 09:12:01.402466-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,2115,2184,5.8441,6.1867,0.3426,Moderate,AM Peak,5.5
2026-05-23 00:00:00,2026-05-23 09:12:32.309466-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,2184,2243,6.5326,6.7081,0.1755,High,AM Peak,6.5
2026-05-23 00:00:00,2026-05-23 09:13:02.876161-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,2243,2184,6.7081,6.8784,0.1703,High,AM Peak,6.5
2026-05-23 00:00:00,2026-05-23 10:26:20.43744-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,14.785,15.1675,0.3825,Moderate,Off Peak,14.5
2026-05-23 00:00:00,2026-05-23 10:26:51.08567-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:27:21.819789-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:27:52.356968-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:28:23.122701-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:28:53.697838-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:29:24.32183-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:29:54.880521-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:30:25.545618-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:30:56.728409-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:31:27.356264-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:31:57.951942-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2289,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:32:28.638863-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2151,2289,15.1675,15.3082,0.1407,High,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:32:59.210825-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2151,2289,15.1675,15.4969,0.3294,Moderate,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:33:29.837665-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2151,2289,15.1675,15.6428,0.4753,Moderate,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:44:45.628493-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2216,2151,14.785,15.1675,0.3825,Moderate,Off Peak,14.5
2026-05-23 00:00:00,2026-05-23 10:45:16.228143-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2216,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:45:46.845678-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2216,2151,15.0725,15.1675,0.095,Severe,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:46:17.415503-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2151,2216,15.1675,15.3082,0.1407,High,Off Peak,15.0
2026-05-23 00:00:00,2026-05-23 10:46:48.224845-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2151,2216,15.1675,15.4969,0.3294,Moderate,Off Peak,15.0
