shape_id,shape_points,first_sequence,last_sequence,min_shape_distance,max_shape_distance,shape_length_km
317626,436,1,436,0.0,19.7506,19.75
313176,241,1,241,0.0,19.7334,19.73
318185,241,1,241,0.0,19.7334,19.73
317661,417,1,417,0.0,19.6605,19.66
312660,417,1,417,0.0,19.6605,19.66
318106,235,1,235,0.0,19.5333,19.53
313094,235,1,235,0.0,19.5333,19.53
318336,225,1,225,0.0,19.4784,19.48
313330,225,1,225,0.0,19.4784,19.48
318119,274,1,274,0.0,19.436,19.44
313115,274,1,274,0.0,19.436,19.44
317890,382,1,382,0.0,19.4208,19.42
312889,382,1,382,0.0,19.4208,19.42
312663,403,1,403,0.0,19.388,19.39
317665,403,1,403,0.0,19.388,19.39
318340,222,1,222,0.0,19.3656,19.37
313326,222,1,222,0.0,19.3656,19.37
318465,303,1,303,0.0,19.3551,19.36
313453,303,1,303,0.0,19.3551,19.36
318531,339,1,339,0.0,19.3495,19.35
318529,339,1,339,0.0,19.3495,19.35
318517,339,1,339,0.0,19.3495,19.35
318519,339,1,339,0.0,19.3495,19.35
313155,297,1,297,0.0,19.3438,19.34
318164,297,1,297,0.0,19.3438,19.34
318532,337,1,337,0.0,19.3304,19.33
318520,337,1,337,0.0,19.3304,19.33
318547,337,1,337,0.0,19.3304,19.33
317278,344,1,344,0.0,19.2396,19.24
312271,344,1,344,0.0,19.2396,19.24
317269,344,1,344,0.0,19.2396,19.24
318288,307,1,307,0.0,19.2417,19.24
313011,219,1,219,0.0,19.2393,19.24
312263,344,1,344,0.0,19.2396,19.24
317270,344,1,344,0.0,19.2396,19.24
313281,307,1,307,0.0,19.2417,19.24
318021,219,1,219,0.0,19.2393,19.24
318514,338,1,338,0.0,19.2102,19.21
318528,338,1,338,0.0,19.2102,19.21
318533,338,1,338,0.0,19.2102,19.21
318523,338,1,338,0.0,19.2102,19.21
318516,338,1,338,0.0,19.2102,19.21
318521,338,1,338,0.0,19.2102,19.21
318530,338,1,338,0.0,19.2102,19.21
318284,289,1,289,0.0,19.189,19.19
312985,223,1,223,0.0,19.1938,19.19
317998,223,1,223,0.0,19.1938,19.19
313274,289,1,289,0.0,19.189,19.19
313452,280,1,280,0.0,19.1416,19.14
318464,280,1,280,0.0,19.1416,19.14
317271,343,1,343,0.0,19.1003,19.1
317279,343,1,343,0.0,19.1003,19.1
312262,343,1,343,0.0,19.1003,19.1
312273,343,1,343,0.0,19.1003,19.1
312270,343,1,343,0.0,19.1003,19.1
312259,354,1,354,0.0,19.0772,19.08
312261,354,1,354,0.0,19.0772,19.08
317262,354,1,354,0.0,19.0772,19.08
317264,354,1,354,0.0,19.0772,19.08
317266,355,1,355,0.0,18.9947,18.99
317263,355,1,355,0.0,18.9947,18.99
312260,355,1,355,0.0,18.9947,18.99
312257,355,1,355,0.0,18.9947,18.99
314717,202,1,202,0.0,18.9591,18.96
317988,202,1,202,0.0,18.9591,18.96
313212,333,1,333,0.0,18.8627,18.86
318222,333,1,333,0.0,18.8627,18.86
317997,218,1,218,0.0,18.8498,18.85
312986,218,1,218,0.0,18.8498,18.85
312991,214,1,214,0.0,18.8537,18.85
317992,214,1,214,0.0,18.8537,18.85
317954,279,1,279,0.0,18.8009,18.8
318098,197,1,197,0.0,18.8041,18.8
312950,279,1,279,0.0,18.8009,18.8
318174,216,1,216,0.0,18.795,18.8
317228,216,1,216,0.0,18.795,18.8
313091,197,1,197,0.0,18.8041,18.8
312623,390,1,390,0.0,18.7666,18.77
317623,390,1,390,0.0,18.7666,18.77
313174,205,1,205,0.0,18.7055,18.71
318187,205,1,205,0.0,18.7055,18.71
317989,214,1,214,0.0,18.5585,18.56
312984,214,1,214,0.0,18.5585,18.56
312332,267,1,267,0.0,18.5504,18.55
318348,221,1,221,0.0,18.5355,18.54
313337,221,1,221,0.0,18.5355,18.54
318540,254,1,254,0.0,18.5319,18.53
317994,209,1,209,0.0,18.5097,18.51
312989,209,1,209,0.0,18.5097,18.51
313427,311,1,311,0.0,18.5014,18.5
318438,311,1,311,0.0,18.5014,18.5
312725,368,1,368,0.0,18.4884,18.49
317731,368,1,368,0.0,18.4884,18.49
312736,368,1,368,0.0,18.4884,18.49
317725,368,1,368,0.0,18.4884,18.49
318537,265,1,265,0.0,18.451,18.45
313169,202,1,202,0.0,18.4416,18.44
318183,202,1,202,0.0,18.4416,18.44
312704,415,1,415,0.0,18.4072,18.41
317705,415,1,415,0.0,18.4072,18.41
