route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km,eligible_days
31821,733,Rock Ridge/Haney Place,0,313286,5,119,7.8,5
31821,733,Rock Ridge/Haney Place,0,318296,1,39,2.14,5
31821,733,Rock Ridge/Haney Place,0,313288,1,39,2.14,5
31821,733,Rock Ridge/Haney Place,1,318300,61,127,7.62,5
31821,733,Rock Ridge/Haney Place,1,313290,61,127,7.62,5
31821,733,Rock Ridge/Haney Place,1,313289,5,191,9.84,5
31821,733,Rock Ridge/Haney Place,1,318301,5,191,9.84,5
31821,733,Rock Ridge/Haney Place,1,318299,2,126,7.54,5
31821,733,Rock Ridge/Haney Place,1,313291,2,126,7.54,5
31822,741,Anderson Creek/Haney Place,0,318303,67,147,6.94,5
31822,741,Anderson Creek/Haney Place,0,313293,65,147,6.94,5
31822,741,Anderson Creek/Haney Place,0,313294,5,180,8.69,5
31822,741,Anderson Creek/Haney Place,0,318302,5,180,8.69,5
31822,741,Anderson Creek/Haney Place,0,313292,1,101,3.76,5
31822,741,Anderson Creek/Haney Place,0,318304,1,101,3.76,5
31822,741,Anderson Creek/Haney Place,1,313296,62,135,6.72,5
31822,741,Anderson Creek/Haney Place,1,318306,62,135,6.72,5
31822,741,Anderson Creek/Haney Place,1,313295,5,199,9.07,5
31822,741,Anderson Creek/Haney Place,1,318307,5,199,9.07,5
31822,741,Anderson Creek/Haney Place,1,318305,4,134,6.72,5
31822,741,Anderson Creek/Haney Place,1,313297,4,134,6.72,5
32799,119,Kingsway,0,317575,247,84,5.63,5
32799,119,Kingsway,0,312575,247,84,5.63,5
32799,119,Kingsway,1,312576,243,94,5.7,5
32799,119,Kingsway,1,317576,243,94,5.7,5
33292,133,Holdom Station/Edmonds Station,0,312609,86,144,8.76,5
33292,133,Holdom Station/Edmonds Station,0,317607,86,144,8.76,5
33292,133,Holdom Station/Edmonds Station,0,312608,33,168,9.18,5
33292,133,Holdom Station/Edmonds Station,0,317608,33,168,9.18,5
33292,133,Holdom Station/Edmonds Station,0,312607,1,107,6.06,5
33292,133,Holdom Station/Edmonds Station,0,317609,1,107,6.06,5
33292,133,Holdom Station/Edmonds Station,1,317610,90,153,8.94,5
33292,133,Holdom Station/Edmonds Station,1,312611,88,153,8.94,5
33292,133,Holdom Station/Edmonds Station,1,317611,33,178,9.55,5
33292,133,Holdom Station/Edmonds Station,1,312610,33,178,9.55,5
33538,068,UBC Exchange/Wesbrook Village,0,312517,183,162,6.51,5
33538,068,UBC Exchange/Wesbrook Village,0,317515,183,162,6.51,5
33538,068,UBC Exchange/Wesbrook Village,1,317516,183,131,5.75,5
33538,068,UBC Exchange/Wesbrook Village,1,312518,183,131,5.75,5
34042,745,Haney Place/Cottonwood,0,318315,52,175,10.47,5
34042,745,Haney Place/Cottonwood,0,313306,51,175,10.47,5
34042,745,Haney Place/Cottonwood,0,318316,1,260,13.99,5
34042,745,Haney Place/Cottonwood,0,313305,1,260,13.99,5
34042,745,Haney Place/Cottonwood,1,318317,29,173,10.35,5
34042,745,Haney Place/Cottonwood,1,313310,29,173,10.35,5
34042,745,Haney Place/Cottonwood,1,313309,19,174,10.43,5
34042,745,Haney Place/Cottonwood,1,318318,19,174,10.43,5
34042,745,Haney Place/Cottonwood,1,318319,2,38,1.79,5
34042,745,Haney Place/Cottonwood,1,313308,2,38,1.79,5
34042,745,Haney Place/Cottonwood,1,318320,1,38,1.73,5
34042,745,Haney Place/Cottonwood,1,313307,1,38,1.73,5
34043,746,Haney Place/Albion,0,318321,37,208,10.52,5
34043,746,Haney Place/Albion,0,313312,36,208,10.52,5
34043,746,Haney Place/Albion,0,318322,12,226,11.15,5
34043,746,Haney Place/Albion,0,313311,12,226,11.15,5
34043,746,Haney Place/Albion,1,318325,25,215,10.89,5
34043,746,Haney Place/Albion,1,313316,25,215,10.89,5
34043,746,Haney Place/Albion,1,318324,13,241,11.73,5
34043,746,Haney Place/Albion,1,313315,12,214,10.88,5
34043,746,Haney Place/Albion,1,318326,12,214,10.88,5
34043,746,Haney Place/Albion,1,313317,12,241,11.73,5
34043,746,Haney Place/Albion,1,313318,2,247,12.71,5
34043,746,Haney Place/Albion,1,318323,2,247,12.71,5
34043,746,Haney Place/Albion,1,318327,1,240,11.73,5
34043,746,Haney Place/Albion,1,313314,1,240,11.73,5
34540,719,Meadowtown/Fraser Way,0,313282,66,113,4.87,5
34540,719,Meadowtown/Fraser Way,0,318292,66,113,4.87,5
34540,719,Meadowtown/Fraser Way,1,318293,66,119,4.67,5
34540,719,Meadowtown/Fraser Way,1,313283,66,119,4.67,5
34541,722,Meadowtown/Bonson,0,318294,66,138,7.18,5
34541,722,Meadowtown/Bonson,0,313284,66,138,7.18,5
34541,722,Meadowtown/Bonson,1,318295,66,133,7.5,5
34541,722,Meadowtown/Bonson,1,313285,66,133,7.5,5
34542,406,Railway Ave,0,313098,234,134,9.39,5
34542,406,Railway Ave,0,318109,234,134,9.39,5
34542,406,Railway Ave,1,318110,234,156,11.35,5
34542,406,Railway Ave,1,313100,233,156,11.35,5
34542,406,Railway Ave,1,313099,2,131,9.29,5
34542,406,Railway Ave,1,318111,2,131,9.29,5
34543,408,Garden City,0,318130,70,137,10.43,5
34543,408,Garden City,0,313118,70,137,10.43,5
34543,408,Garden City,0,318129,68,96,8.0,5
34543,408,Garden City,0,313119,67,96,8.0,5
34543,408,Garden City,0,318128,34,112,9.33,5
34543,408,Garden City,0,313120,34,112,9.33,5
34543,408,Garden City,0,313117,2,46,4.24,5
34543,408,Garden City,0,318131,2,46,4.24,5
34543,408,Garden City,1,318133,103,115,10.15,5
34543,408,Garden City,1,313122,103,115,10.15,5
34543,408,Garden City,1,318134,69,92,8.52,5
34543,408,Garden City,1,313121,69,92,8.52,5
34543,408,Garden City,1,313123,2,79,7.71,5
34543,408,Garden City,1,318132,2,79,7.71,5
36799,249,Lonsdale Quay/Delbrook,0,317830,111,123,5.78,5
36799,249,Lonsdale Quay/Delbrook,0,312831,110,123,5.78,5
36799,249,Lonsdale Quay/Delbrook,1,317832,107,120,5.78,5
36799,249,Lonsdale Quay/Delbrook,1,312832,107,120,5.78,5
37807,R5,Hastings St,0,318471,243,244,17.19,5
37807,R5,Hastings St,0,313454,243,244,17.19,5
37807,R5,Hastings St,0,318481,176,103,7.44,5
37807,R5,Hastings St,0,318470,36,92,7.28,5
37807,R5,Hastings St,0,313456,26,244,17.19,5
37807,R5,Hastings St,0,318469,26,244,17.19,5
37807,R5,Hastings St,0,313457,23,173,10.9,5
37807,R5,Hastings St,0,318468,23,173,10.9,5
37807,R5,Hastings St,0,313455,17,92,7.28,5
37807,R5,Hastings St,0,313458,10,95,7.14,5
37807,R5,Hastings St,0,318467,10,95,7.14,5
37807,R5,Hastings St,1,318476,235,295,18.26,5
37807,R5,Hastings St,1,313460,235,295,18.26,5
37807,R5,Hastings St,1,318482,195,78,6.79,5
37807,R5,Hastings St,1,318475,27,295,18.26,5
37807,R5,Hastings St,1,313461,27,295,18.26,5
37807,R5,Hastings St,1,318473,21,122,8.43,5
37807,R5,Hastings St,1,313463,21,122,8.43,5
37807,R5,Hastings St,1,318472,8,112,7.69,5
37807,R5,Hastings St,1,313464,8,112,7.69,5
37807,R5,Hastings St,1,313462,3,175,12.57,5
37807,R5,Hastings St,1,318474,3,175,12.57,5
37808,R1,King George Blvd,0,318452,223,139,11.21,5
37808,R1,King George Blvd,0,313443,223,139,11.21,5
37808,R1,King George Blvd,0,318453,59,147,11.72,5
37808,R1,King George Blvd,0,313442,59,147,11.72,5
37808,R1,King George Blvd,0,318455,17,126,10.35,5
37808,R1,King George Blvd,0,313440,17,126,10.35,5
37808,R1,King George Blvd,0,313441,2,134,10.85,5
37808,R1,King George Blvd,0,318454,2,134,10.85,5
37808,R1,King George Blvd,1,318456,282,147,11.48,5
37808,R1,King George Blvd,1,313445,282,147,11.48,5
37808,R1,King George Blvd,1,313444,7,134,10.34,5
37808,R1,King George Blvd,1,318457,7,134,10.34,5
37809,R3,Lougheed Hwy,0,313450,245,195,17.3,5
37809,R3,Lougheed Hwy,0,318462,245,195,17.3,5
37809,R3,Lougheed Hwy,1,318463,246,216,17.31,5
37809,R3,Lougheed Hwy,1,313451,245,216,17.31,5
37810,R4,41st Avenue,0,318464,409,280,19.14,5
37810,R4,41st Avenue,0,313452,409,280,19.14,5
37810,R4,41st Avenue,1,313453,412,303,19.36,5
37810,R4,41st Avenue,1,318465,412,303,19.36,5
38311,R2,Marine Drive,0,318458,172,169,9.77,5
38311,R2,Marine Drive,0,313447,172,169,9.77,5
38311,R2,Marine Drive,0,318459,107,169,9.77,5
38311,R2,Marine Drive,0,313446,107,169,9.77,5
38311,R2,Marine Drive,1,318460,167,231,10.63,5
38311,R2,Marine Drive,1,313449,167,231,10.63,5
38311,R2,Marine Drive,1,313448,111,231,10.63,5
38311,R2,Marine Drive,1,318461,111,231,10.63,5
39304,031,Metrotown Station/River District,0,312476,120,118,5.06,5
39304,031,Metrotown Station/River District,0,317482,120,118,5.06,5
39304,031,Metrotown Station/River District,1,317483,120,127,5.78,5
39304,031,Metrotown Station/River District,1,312477,120,127,5.78,5
39307,245,Phibbs Exchange/Capilano University,0,317818,177,104,3.91,5
39307,245,Phibbs Exchange/Capilano University,0,312818,177,104,3.91,5
39307,245,Phibbs Exchange/Capilano University,1,312819,177,97,3.8,5
39307,245,Phibbs Exchange/Capilano University,1,317819,177,97,3.8,5
40855,350,White Rock Centre/Crescent Beach,0,313015,132,122,10.11,5
40855,350,White Rock Centre/Crescent Beach,0,318026,132,122,10.11,5
40855,350,White Rock Centre/Crescent Beach,0,313016,4,90,8.27,5
40855,350,White Rock Centre/Crescent Beach,0,318025,4,90,8.27,5
40855,350,White Rock Centre/Crescent Beach,1,313017,137,99,8.73,5
40855,350,White Rock Centre/Crescent Beach,1,318027,137,99,8.73,5
46099,102,New West Station/Victoria  Hill,0,312543,204,86,3.76,5
46099,102,New West Station/Victoria  Hill,0,317543,204,86,3.76,5
46099,102,New West Station/Victoria  Hill,1,312544,204,79,3.08,5
46099,102,New West Station/Victoria  Hill,1,317544,204,79,3.08,5
46604,R6,Scott Road,0,313465,334,167,12.08,5
46604,R6,Scott Road,0,318477,334,167,12.08,5
46604,R6,Scott Road,1,313466,328,167,12.13,5
46604,R6,Scott Road,1,318478,328,167,12.13,5
48855,338,East Fraser Heights/Guildford,0,318005,77,116,6.84,5
48855,338,East Fraser Heights/Guildford,0,312998,77,116,6.84,5
48855,338,East Fraser Heights/Guildford,1,318006,77,125,7.02,5
48855,338,East Fraser Heights/Guildford,1,312999,77,125,7.02,5
6612,002,Macdonald,0,317230,217,211,10.76,5
6612,002,Macdonald,0,312225,209,211,10.76,5
6612,002,Macdonald,0,317231,83,130,6.7,5
6612,002,Macdonald,0,312224,80,130,6.7,5
6612,002,Macdonald,1,317232,217,199,10.17,5
6612,002,Macdonald,1,312227,209,199,10.17,5
6612,002,Macdonald,1,317233,83,118,6.44,5
6612,002,Macdonald,1,312226,80,118,6.44,5
6613,003,Main,0,312228,238,201,10.57,5
6613,003,Main,0,317234,238,201,10.57,5
6613,003,Main,1,312229,238,212,10.56,5
6613,003,Main,1,317235,238,212,10.56,5
6614,004,Powell/UBC Exchange,0,318518,151,296,17.87,5
6614,004,Powell/UBC Exchange,0,312231,150,295,17.96,5
6614,004,Powell/UBC Exchange,0,318522,24,258,15.22,5
