service_date,route_id,route_short_name,route_long_name,route_type,hour_of_day,peak_period,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km
2026-05-23 00:00:00,6728,410,Brighouse Station/22nd St Station,Regular Bus,14,Off Peak,61,9,14,38,0.292,0.338
2026-05-23 00:00:00,6728,410,Brighouse Station/22nd St Station,Regular Bus,15,PM Peak,72,12,25,35,0.249,0.232
2026-05-23 00:00:00,6728,410,Brighouse Station/22nd St Station,Regular Bus,16,PM Peak,50,4,13,33,0.29,0.312
2026-05-23 00:00:00,6728,410,Brighouse Station/22nd St Station,Regular Bus,17,PM Peak,36,7,6,23,0.261,0.274
2026-05-23 00:00:00,6728,410,Brighouse Station/22nd St Station,Regular Bus,18,PM Peak,2,1,1,0,0.139,0.139
2026-05-23 00:00:00,6738,502,Fraser Hwy,Express / Regional,18,PM Peak,15,1,1,13,0.343,0.383
2026-05-23 00:00:00,6738,502,Fraser Hwy,Express / Regional,19,Off Peak,25,2,10,13,0.272,0.279
2026-05-23 00:00:00,23384,503,Fraser Hwy Express,Express / Regional,12,Off Peak,1,0,0,1,0.278,0.278
2026-05-23 00:00:00,23384,503,Fraser Hwy Express,Express / Regional,14,Off Peak,1,0,1,0,0.166,0.166
2026-05-23 00:00:00,23384,503,Fraser Hwy Express,Express / Regional,15,PM Peak,1,0,0,1,0.484,0.484
2026-05-23 00:00:00,23384,503,Fraser Hwy Express,Express / Regional,17,PM Peak,3,0,2,1,0.174,0.116
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,8,AM Peak,22,1,9,12,0.277,0.257
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,9,AM Peak,45,14,9,22,0.217,0.236
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,10,Off Peak,88,14,24,50,0.273,0.306
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,11,Off Peak,89,13,23,53,0.281,0.287
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,12,Off Peak,166,28,52,86,0.254,0.252
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,13,Off Peak,227,57,78,92,0.223,0.205
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,14,Off Peak,192,46,64,82,0.234,0.212
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,15,PM Peak,95,8,44,43,0.267,0.216
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,16,PM Peak,114,11,47,56,0.259,0.241
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,17,PM Peak,141,26,42,73,0.259,0.253
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,18,PM Peak,63,9,29,25,0.227,0.205
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,19,Off Peak,26,0,5,21,0.358,0.389
2026-05-23 00:00:00,37810,R4,41st Avenue,RapidBus,20,Off Peak,33,5,6,22,0.298,0.38
2026-05-23 00:00:00,37807,R5,Hastings St,RapidBus,14,Off Peak,4,0,1,3,0.328,0.35
2026-05-23 00:00:00,37807,R5,Hastings St,RapidBus,18,PM Peak,17,2,13,2,0.197,0.202
2026-05-23 00:00:00,37807,R5,Hastings St,RapidBus,20,Off Peak,8,0,2,6,0.322,0.338
2026-05-23 00:00:00,37807,R5,Hastings St,RapidBus,21,Off Peak,14,3,6,5,0.215,0.15
2026-05-23 00:00:00,37807,R5,Hastings St,RapidBus,22,Off Peak,12,4,5,3,0.166,0.122
