route_id,first_seen,last_seen,active_hours,total_records,unique_vehicles
48855,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,188,2
6701,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,180,4
6689,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:33:00.616852+00:00,2,169,2
6631,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,157,4
6675,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:23:47.064892+00:00,2,155,3
6709,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,146,2
30050,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,140,3
6800,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,140,2
6691,2026-05-18 00:08:51.018781+00:00,2026-05-18 10:07:52.340468+00:00,3,129,2
30047,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,114,3
6799,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,113,3
6690,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:18:39.826062+00:00,2,113,2
31821,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,108,2
34043,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,102,2
30048,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:57:04.532207+00:00,1,96,4
34541,2026-05-18 00:24:18.728932+00:00,2026-05-18 00:52:26.746704+00:00,1,95,2
31817,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,95,2
31818,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,94,1
6811,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,94,1
6779,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,94,1
11202,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,94,1
34540,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,93,2
31816,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,93,2
34042,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,86,2
6823,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:50:23.871145+00:00,1,79,1
6825,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,74,1
6841,2026-05-18 06:55:33.826937+00:00,2026-05-18 11:30:37.922227+00:00,5,72,8
6776,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:45:22.965153+00:00,1,72,1
30051,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,71,3
31822,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:54:30.389212+00:00,1,67,2
6843,2026-05-18 00:23:47.983027+00:00,2026-05-18 00:58:37.146212+00:00,1,61,1
10232,2026-05-18 00:23:16.709901+00:00,2026-05-18 00:58:37.146212+00:00,1,54,1
6844,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,49,2
7322,2026-05-18 00:45:53.835342+00:00,2026-05-18 00:58:37.146212+00:00,1,22,1
6834,2026-05-18 08:38:09.836336+00:00,2026-05-18 11:30:37.922227+00:00,3,17,10
6838,2026-05-18 08:38:09.836336+00:00,2026-05-18 11:30:37.922227+00:00,3,13,4
6830,2026-05-18 08:38:09.836336+00:00,2026-05-18 11:30:37.922227+00:00,3,11,4
6836,2026-05-18 08:38:09.836336+00:00,2026-05-18 10:07:52.340468+00:00,2,3,2
6835,2026-05-18 08:38:09.836336+00:00,2026-05-18 10:07:52.340468+00:00,2,3,3
6840,2026-05-18 08:38:09.836336+00:00,2026-05-18 10:07:52.340468+00:00,2,3,3
6831,2026-05-18 10:07:52.340468+00:00,2026-05-18 10:07:52.340468+00:00,1,2,2
6833,2026-05-18 10:07:52.340468+00:00,2026-05-18 10:07:52.340468+00:00,1,2,2
