filename,status,size_bytes,row_count,is_empty,is_corrupted,missing_columns,duplicate_count,earliest_timestamp,latest_timestamp,unique_routes
vehicle_positions_18_182958.parquet,OK,34959,816,False,False,,0,2026-05-14T18:29:58.061976+00:00,2026-05-14T18:29:58.061976+00:00,181
vehicle_positions_18_183029.parquet,OK,34998,815,False,False,,0,2026-05-14T18:30:28.893477+00:00,2026-05-14T18:30:28.893477+00:00,181
vehicle_positions_18_183100.parquet,OK,35099,818,False,False,,0,2026-05-14T18:30:59.717665+00:00,2026-05-14T18:30:59.717665+00:00,181
vehicle_positions_18_183131.parquet,OK,34961,813,False,False,,0,2026-05-14T18:31:30.758804+00:00,2026-05-14T18:31:30.758804+00:00,181
vehicle_positions_18_183202.parquet,OK,35033,812,False,False,,0,2026-05-14T18:32:01.561697+00:00,2026-05-14T18:32:01.561697+00:00,182
vehicle_positions_18_183233.parquet,OK,34859,811,False,False,,0,2026-05-14T18:32:32.933519+00:00,2026-05-14T18:32:32.933519+00:00,182
vehicle_positions_18_183304.parquet,OK,34940,811,False,False,,0,2026-05-14T18:33:03.765422+00:00,2026-05-14T18:33:03.765422+00:00,182
vehicle_positions_18_183335.parquet,OK,34992,812,False,False,,0,2026-05-14T18:33:34.580955+00:00,2026-05-14T18:33:34.580955+00:00,182
vehicle_positions_18_183405.parquet,OK,35052,811,False,False,,0,2026-05-14T18:34:05.345864+00:00,2026-05-14T18:34:05.345864+00:00,182
vehicle_positions_18_183436.parquet,OK,34885,811,False,False,,0,2026-05-14T18:34:36.267269+00:00,2026-05-14T18:34:36.267269+00:00,182
vehicle_positions_18_183507.parquet,OK,35010,811,False,False,,0,2026-05-14T18:35:07.077058+00:00,2026-05-14T18:35:07.077058+00:00,182
vehicle_positions_18_183538.parquet,OK,34812,811,False,False,,0,2026-05-14T18:35:37.907797+00:00,2026-05-14T18:35:37.907797+00:00,182
vehicle_positions_18_183609.parquet,OK,34929,814,False,False,,0,2026-05-14T18:36:08.630608+00:00,2026-05-14T18:36:08.630608+00:00,182
vehicle_positions_18_183639.parquet,OK,34865,815,False,False,,0,2026-05-14T18:36:39.437587+00:00,2026-05-14T18:36:39.437587+00:00,182
vehicle_positions_18_183710.parquet,OK,35116,816,False,False,,0,2026-05-14T18:37:10.204193+00:00,2026-05-14T18:37:10.204193+00:00,182
vehicle_positions_18_183741.parquet,OK,34979,814,False,False,,0,2026-05-14T18:37:41.158886+00:00,2026-05-14T18:37:41.158886+00:00,182
vehicle_positions_18_183812.parquet,OK,35036,814,False,False,,0,2026-05-14T18:38:12.259695+00:00,2026-05-14T18:38:12.259695+00:00,182
vehicle_positions_18_183843.parquet,OK,34969,814,False,False,,0,2026-05-14T18:38:43.349135+00:00,2026-05-14T18:38:43.349135+00:00,182
vehicle_positions_18_183914.parquet,OK,35117,816,False,False,,0,2026-05-14T18:39:14.187627+00:00,2026-05-14T18:39:14.187627+00:00,182
vehicle_positions_18_183945.parquet,OK,35030,815,False,False,,0,2026-05-14T18:39:45.047976+00:00,2026-05-14T18:39:45.047976+00:00,182
vehicle_positions_18_184016.parquet,OK,35070,813,False,False,,0,2026-05-14T18:40:15.825532+00:00,2026-05-14T18:40:15.825532+00:00,182
vehicle_positions_18_184047.parquet,OK,34977,812,False,False,,0,2026-05-14T18:40:46.647968+00:00,2026-05-14T18:40:46.647968+00:00,182
vehicle_positions_18_184117.parquet,OK,34954,811,False,False,,0,2026-05-14T18:41:17.417866+00:00,2026-05-14T18:41:17.417866+00:00,182
